Time	Male	Female	Zombie
553	22242	20402	0
554	22242	20402	0
555	22242	20402	0
556	22242	20402	0
557	22242	20402	0
558	22242	20402	0
559	22242	20402	0
560	22242	20402	0
561	22242	20402	0
562	22242	20402	0
563	22242	20402	0
564	22242	20402	0
565	22242	20402	0
566	22242	20402	0
567	22242	20402	0
568	22242	20402	0
569	22242	20402	0
570	22242	20402	0
571	22242	20402	0
572	22242	20402	0
573	22242	20402	0
574	22242	20402	0
575	22242	20402	0
576	22242	20402	0
577	22242	20402	0
578	22242	20402	0
579	22242	20402	0
580	22242	20402	0
581	22242	20402	0
582	22242	20402	0
583	22241	20402	0
584	22241	20402	0
585	22241	20402	0
586	22241	20402	0
587	22241	20402	0
588	22241	20402	0
589	22241	20402	0
590	22241	20402	0
591	22241	20402	0
592	22241	20402	0
593	22241	20402	0
594	22241	20402	0
595	22241	20402	0
596	22241	20402	0
597	22241	20402	0
598	22240	20402	0
599	22240	20402	0
600	22240	20402	0
601	22240	20402	0
602	22239	20402	0
603	22239	20402	0
604	22239	20402	0
605	22239	20402	0
606	22239	20402	0
607	22239	20402	0
608	22239	20402	0
609	22239	20402	0
610	22239	20402	0
611	22239	20402	0
612	22239	20402	0
613	22239	20402	0
614	22239	20402	0
615	22239	20402	0
616	22239	20402	0
617	22239	20402	0
618	22239	20402	0
619	22239	20402	0
620	22239	20402	0
621	22239	20402	0
622	22239	20402	0
623	22239	20402	0
624	22239	20402	0
625	22239	20402	0
626	22239	20402	0
627	22239	20402	0
628	22239	20402	0
629	22239	20402	0
630	22239	20402	0
631	22239	20402	0
632	22239	20402	0
633	22239	20402	0
634	22239	20402	0
635	22239	20402	0
636	22239	20402	0
637	22239	20402	0
638	22239	20402	0
639	22239	20402	0
640	22239	20402	0
641	22239	20402	0
642	22239	20402	0
643	22239	20402	0
644	22239	20402	0
645	22239	20402	0
646	22239	20402	0
647	22239	20402	0
648	22239	20402	0
649	22239	20402	0
650	22239	20402	0
651	22239	20402	0
652	22239	20402	0
653	22239	20402	0
654	22239	20402	0
655	22239	20402	0
656	22239	20402	0
657	22239	20401	0
658	22239	20401	0
659	22239	20401	0
660	22239	20401	0
661	22239	20401	0
662	22239	20401	0
663	22239	20401	0
664	22239	20401	0
665	22239	20401	0
666	22239	20401	0
667	22239	20401	0
668	22239	20401	0
669	22239	20401	0
670	22239	20401	0
671	22239	20401	0
672	22238	20401	0
673	22238	20401	0
674	22238	20401	0
675	22238	20401	0
676	22238	20401	0
677	22238	20401	0
678	22238	20401	0
679	22238	20401	0
680	22238	20401	0
681	22238	20401	0
682	22238	20401	0
683	22238	20401	0
684	22238	20401	0
685	22238	20401	0
686	22238	20401	0
687	22238	20401	0
688	22238	20401	0
689	22238	20401	0
690	22237	20401	0
691	22237	20401	0
692	22237	20401	0
693	22237	20401	0
694	22237	20401	0
695	22236	20401	0
696	22236	20401	0
697	22236	20401	0
698	22236	20401	0
699	22236	20401	0
700	22236	20401	0
701	22236	20401	0
702	22236	20401	0
703	22236	20401	0
704	22236	20401	0
705	22236	20401	0
706	22236	20401	0
707	22236	20401	0
708	22236	20401	0
709	22236	20401	0
710	22236	20401	0
711	22236	20401	0
712	22236	20401	0
713	22236	20401	0
714	22236	20401	0
715	22236	20401	0
716	22236	20401	0
717	22236	20401	0
718	22236	20401	0
719	22236	20401	0
720	22236	20401	0
721	22236	20401	0
722	22236	20401	0
723	22236	20401	0
724	22236	20401	0
725	22236	20401	0
726	22236	20401	0
727	22236	20401	0
728	22236	20401	0
729	22236	20401	0
730	22236	20401	0
731	22236	20401	0
732	22236	20401	0
733	22236	20401	0
734	22236	20401	0
735	22236	20401	0
736	22236	20401	0
737	22236	20401	0
738	22236	20401	0
739	22236	20401	0
740	22236	20401	0
741	22236	20401	0
742	22235	20401	0
743	22235	20401	0
744	22235	20401	0
745	22235	20401	0
746	22234	20401	0
747	22234	20401	0
748	22234	20401	0
749	22234	20401	0
750	22234	20401	0
751	22234	20401	0
752	22233	20401	0
753	22233	20401	0
754	22233	20401	0
755	22233	20401	0
756	22233	20401	0
757	22233	20401	0
758	22233	20401	0
759	22233	20401	0
760	22233	20401	0
761	22233	20401	0
762	22233	20401	0
763	22233	20401	0
764	22233	20401	0
765	22233	20401	0
766	22233	20401	0
767	22233	20401	0
768	22233	20401	0
769	22233	20401	0
770	22233	20401	0
771	22232	20401	0
772	22232	20401	0
773	22232	20401	0
774	22232	20401	0
775	22232	20401	0
776	22232	20401	0
777	22232	20401	0
778	22232	20401	0
779	22232	20401	0
780	22232	20400	0
781	22232	20400	0
782	22232	20399	0
783	22232	20398	0
784	22232	20398	0
785	22232	20398	0
786	22232	20398	0
787	22232	20398	0
788	22232	20398	0
789	22232	20398	0
790	22232	20398	0
791	22232	20398	0
792	22232	20398	0
793	22232	20398	0
794	22232	20398	0
795	22232	20398	0
796	22232	20398	0
797	22232	20398	0
798	22232	20398	0
799	22232	20398	0
800	22232	20398	0
801	22232	20398	0
802	22232	20398	0
803	22232	20398	0
804	22232	20398	0
805	22232	20398	0
806	22232	20398	0
807	22232	20398	0
808	22232	20398	0
809	22232	20398	0
810	22232	20398	0
811	22232	20398	0
812	22232	20398	0
813	22232	20398	0
814	22232	20398	0
815	22232	20398	0
816	22232	20398	0
817	22232	20398	0
818	22232	20398	0
819	22232	20398	0
820	22232	20398	0
821	22232	20398	0
822	22231	20398	0
823	22231	20398	0
824	22231	20398	0
825	22231	20398	0
826	22231	20398	0
827	22231	20398	0
828	22230	20398	0
829	22230	20398	0
830	22230	20398	0
831	22230	20398	0
832	22230	20398	0
833	22229	20398	0
834	22229	20398	0
835	22229	20398	0
836	22229	20398	0
837	22229	20398	0
838	22229	20398	0
839	22229	20398	0
840	22229	20398	0
841	22229	20398	0
842	22229	20398	0
843	22229	20398	0
844	22229	20398	0
845	22229	20398	0
846	22229	20398	0
847	22229	20398	0
848	22229	20398	0
849	22229	20398	0
850	22229	20398	0
851	22229	20398	0
852	22229	20398	0
853	22229	20398	0
854	22229	20398	0
855	22229	20398	0
856	22229	20398	0
857	22229	20398	0
858	22228	20398	0
859	22228	20398	0
860	22228	20398	0
861	22228	20397	0
862	22228	20397	0
863	22228	20397	0
864	22228	20397	0
865	22228	20397	0
866	22228	20397	0
867	22228	20397	0
868	22227	20397	0
869	22227	20397	0
870	22227	20397	0
871	22227	20397	0
872	22227	20397	0
873	22227	20397	0
874	22227	20397	0
875	22227	20397	0
876	22227	20397	0
877	22227	20397	0
878	22226	20397	0
879	22226	20397	0
880	22226	20397	0
881	22226	20397	0
882	22226	20397	0
883	22226	20397	0
884	22226	20397	0
885	22226	20397	0
886	22226	20397	0
887	22226	20397	0
888	22226	20397	0
889	22226	20397	0
890	22226	20397	0
891	22226	20397	0
892	22226	20397	0
893	22226	20397	0
894	22226	20397	0
895	22226	20397	0
896	22226	20397	0
897	22226	20397	0
898	22226	20397	0
899	22226	20397	0
900	22226	20397	0
901	22226	20397	0
902	22226	20397	0
903	22226	20397	0
904	22226	20397	0
905	22226	20397	0
906	22226	20397	0
907	22226	20397	0
908	22226	20397	0
909	22226	20397	0
910	22226	20397	0
911	22226	20397	0
912	22226	20397	0
913	22226	20396	0
914	22226	20396	0
915	22226	20396	0
916	22226	20396	0
917	22226	20396	0
918	22226	20396	0
919	22226	20396	0
920	22226	20396	0
921	22226	20396	0
922	22226	20396	0
923	22226	20396	0
924	22226	20396	0
925	22226	20396	0
926	22225	20396	0
927	22225	20396	0
928	22225	20396	0
929	22225	20396	0
930	22225	20396	0
931	22225	20396	0
932	22225	20396	0
933	22225	20396	0
934	22225	20396	0
935	22225	20396	0
936	22225	20396	0
937	22225	20396	0
938	22225	20396	0
939	22225	20396	0
940	22225	20396	0
941	22224	20396	0
942	22224	20396	0
943	22224	20396	0
944	22224	20396	0
945	22224	20396	0
946	22224	20396	0
947	22224	20396	0
948	22224	20396	0
949	22223	20396	0
950	22222	20396	0
951	22222	20396	0
952	22222	20396	0
953	22222	20396	0
954	22222	20396	0
955	22222	20396	0
956	22222	20396	0
957	22222	20396	0
